,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,BLK_home,PF_home,STL_home,TO_home,BLK_away,PF_away,STL_away,TO_away,HOME_TEAM,VISITOR_TEAM
4184,2012,88.0,0.444,0.5,0.278,18.0,35.0,123.0,0.561,0.762,0.556,33.0,44.0,0,8.0,13.0,6.0,7.0,2.0,18.0,3.0,8.0,Magic,Raptors
4185,2011,102.0,0.493,0.667,0.444,20.0,33.0,96.0,0.457,0.9309999999999999,0.385,23.0,33.0,1,6.0,22.0,4.0,12.0,2.0,27.0,4.0,11.0,Magic,Raptors
4186,2010,112.0,0.47200000000000003,0.7040000000000001,0.33299999999999996,21.0,60.0,72.0,0.354,0.588,0.267,15.0,44.0,1,4.0,14.0,5.0,9.0,2.0,24.0,6.0,13.0,Magic,Raptors
4187,2010,106.0,0.527,0.552,0.5,23.0,34.0,110.0,0.5,0.774,0.462,20.0,39.0,0,6.0,23.0,7.0,16.0,3.0,24.0,9.0,15.0,Magic,Raptors
4188,2009,103.0,0.419,0.8420000000000001,0.29,19.0,35.0,108.0,0.5489999999999999,0.875,0.45,31.0,35.0,0,2.0,18.0,8.0,14.0,2.0,28.0,6.0,15.0,Magic,Raptors
4189,2009,118.0,0.573,0.7829999999999999,0.467,28.0,42.0,99.0,0.43799999999999994,0.8,0.41700000000000004,20.0,31.0,1,14.0,21.0,4.0,14.0,0.0,22.0,6.0,8.0,Magic,Raptors
4190,2008,95.0,0.408,0.634,0.26899999999999996,17.0,35.0,99.0,0.494,0.722,0.5,23.0,49.0,0,6.0,19.0,10.0,10.0,3.0,29.0,5.0,16.0,Magic,Raptors
4191,2008,103.0,0.457,0.7829999999999999,0.478,17.0,37.0,90.0,0.43799999999999994,0.7829999999999999,0.14300000000000002,12.0,44.0,1,9.0,23.0,12.0,16.0,5.0,17.0,10.0,21.0,Magic,Raptors
4192,2007,102.0,0.449,0.821,0.281,21.0,55.0,92.0,0.41200000000000003,0.8240000000000001,0.364,20.0,37.0,1,3.0,14.0,3.0,13.0,1.0,24.0,9.0,6.0,Magic,Raptors
4193,2007,104.0,0.4270000000000001,0.826,0.29,19.0,48.0,103.0,0.457,0.9,0.379,21.0,40.0,1,5.0,20.0,10.0,13.0,1.0,23.0,4.0,13.0,Magic,Raptors
4194,2007,114.0,0.532,0.826,0.44799999999999995,21.0,42.0,100.0,0.376,0.9640000000000001,0.45,24.0,35.0,1,7.0,19.0,3.0,10.0,1.0,18.0,7.0,7.0,Magic,Raptors
4195,2007,102.0,0.526,0.7,0.348,18.0,41.0,87.0,0.409,0.684,0.14300000000000002,15.0,47.0,1,3.0,15.0,7.0,15.0,2.0,16.0,7.0,13.0,Magic,Raptors
4196,2006,108.0,0.52,0.8,0.5,20.0,41.0,111.0,0.493,0.821,0.474,19.0,27.0,0,3.0,28.0,9.0,23.0,3.0,24.0,13.0,15.0,Magic,Raptors
4197,2006,84.0,0.376,0.7829999999999999,0.16699999999999998,10.0,43.0,91.0,0.47,0.846,0.41200000000000003,14.0,39.0,0,0.0,21.0,7.0,14.0,8.0,23.0,7.0,14.0,Magic,Raptors
4198,2005,103.0,0.475,0.667,0.294,22.0,37.0,96.0,0.474,0.609,0.5329999999999999,18.0,41.0,1,5.0,19.0,7.0,10.0,4.0,27.0,4.0,18.0,Magic,Raptors
4199,2005,90.0,0.493,0.731,0.14300000000000002,15.0,39.0,92.0,0.425,0.5770000000000001,0.563,21.0,32.0,0,6.0,20.0,8.0,15.0,3.0,26.0,8.0,12.0,Magic,Raptors
4200,2004,108.0,0.467,0.731,0.33299999999999996,24.0,46.0,96.0,0.493,0.8240000000000001,0.47100000000000003,17.0,40.0,1,5.0,19.0,10.0,13.0,3.0,22.0,9.0,23.0,Magic,Raptors
4201,2004,129.0,0.573,0.75,0.429,28.0,61.0,108.0,0.4270000000000001,0.75,0.42100000000000004,20.0,32.0,1,7.0,29.0,6.0,18.0,4.0,26.0,12.0,12.0,Magic,Raptors
4202,2003,86.0,0.425,0.846,0.4,10.0,39.0,87.0,0.413,0.88,0.429,20.0,38.0,0,6.0,25.0,5.0,17.0,2.0,22.0,7.0,13.0,Magic,Raptors
4203,2019,83.0,0.34600000000000003,0.815,0.24100000000000002,17.0,52.0,90.0,0.369,0.607,0.289,21.0,46.0,0,11.0,19.0,10.0,22.0,4.0,20.0,16.0,13.0,Magic,Raptors
4204,2018,85.0,0.42,0.769,0.212,20.0,34.0,107.0,0.5329999999999999,0.889,0.39299999999999996,23.0,45.0,0,2.0,19.0,7.0,17.0,6.0,20.0,11.0,14.0,Magic,Raptors
4205,2018,93.0,0.363,0.9570000000000001,0.295,19.0,42.0,98.0,0.44799999999999995,0.9,0.39299999999999996,26.0,43.0,0,5.0,17.0,8.0,16.0,3.0,23.0,9.0,13.0,Magic,Raptors
4206,2018,116.0,0.473,0.8640000000000001,0.34600000000000003,29.0,60.0,87.0,0.295,0.792,0.353,18.0,41.0,1,8.0,20.0,3.0,15.0,10.0,21.0,4.0,11.0,Magic,Raptors
4207,2018,91.0,0.405,0.789,0.267,24.0,49.0,93.0,0.44799999999999995,0.75,0.265,23.0,43.0,0,4.0,11.0,5.0,14.0,5.0,19.0,7.0,16.0,Magic,Raptors
4208,2017,86.0,0.41100000000000003,0.6,0.36,22.0,45.0,93.0,0.455,0.529,0.389,19.0,45.0,0,7.0,16.0,13.0,12.0,8.0,10.0,7.0,17.0,Magic,Raptors
4209,2017,104.0,0.47600000000000003,0.565,0.433,27.0,42.0,117.0,0.542,0.625,0.4,33.0,42.0,0,2.0,19.0,8.0,13.0,7.0,22.0,9.0,12.0,Magic,Raptors
4210,2016,102.0,0.46299999999999997,0.7190000000000001,0.35700000000000004,22.0,46.0,94.0,0.391,0.762,0.35700000000000004,15.0,44.0,1,7.0,16.0,4.0,11.0,5.0,21.0,5.0,11.0,Magic,Raptors
4211,2016,79.0,0.41,0.889,0.14300000000000002,13.0,42.0,109.0,0.494,0.762,0.259,20.0,47.0,0,3.0,17.0,5.0,19.0,7.0,16.0,10.0,10.0,Magic,Raptors
4212,2015,103.0,0.45399999999999996,0.75,0.391,28.0,46.0,106.0,0.41100000000000003,0.774,0.33299999999999996,20.0,47.0,0,9.0,22.0,4.0,15.0,11.0,16.0,11.0,10.0,Magic,Raptors
4213,2015,92.0,0.429,0.773,0.36,22.0,40.0,87.0,0.349,0.759,0.217,13.0,44.0,1,4.0,25.0,4.0,12.0,5.0,18.0,5.0,9.0,Magic,Raptors
4214,2014,99.0,0.461,1.0,0.35,21.0,46.0,101.0,0.415,0.9329999999999999,0.3,22.0,46.0,0,4.0,19.0,11.0,16.0,1.0,15.0,8.0,15.0,Magic,Raptors
4215,2014,95.0,0.469,0.5,0.35,25.0,40.0,108.0,0.39799999999999996,0.792,0.19,13.0,50.0,0,7.0,37.0,3.0,14.0,4.0,21.0,4.0,7.0,Magic,Raptors
